X0	X1	X2	X3	X4	X5	X6	X7	X8	X9	Class	Distribution	Fitness
1	2	2	1	1	0	1	2	1	1	1	3.0	0.3521505922423228
2	1	0	0	2	0	2	2	1	2	1	2.0	0.3521505922423228
1	0	2	1	2	0	0	1	1	0	0	1.0	0.3521505922423228
1	1	0	1	2	1	1	1	0	2	1	2.0	0.3521505922423228
0	2	1	2	2	2	0	0	0	0	0	1.0	0.3521505922423228
0	2	2	2	2	1	2	1	2	0	0	1.0	0.3521505922423228
2	1	2	2	0	2	0	0	0	0	1	2.0	0.3524044996098672
2	1	1	0	1	0	2	1	2	0	0	1.0	0.3550330202609169
2	2	1	1	2	2	1	2	2	0	0	1.0	0.3550330202609169
0	2	0	0	0	0	0	2	0	0	1	3.0	0.3550330202609169
2	0	2	1	0	0	2	1	2	2	0	1.0	0.3550330202609169
0	2	1	2	2	2	1	1	1	1	0	1.0	0.3550330202609169
0	2	0	1	1	2	2	2	1	1	0	1.0	0.3550330202609169
1	0	1	1	1	0	0	1	0	0	0	1.0	0.3550330202609169
1	0	0	0	0	2	0	2	0	0	0	1.0	0.3550330202609169
1	0	2	1	2	1	0	1	1	2	0	1.0	0.3550330202609169
1	1	2	0	0	2	1	2	0	0	0	1.0	0.3550330202609169
0	1	0	0	1	2	2	0	0	2	1	3.0	0.3550330202609169
0	1	2	2	0	2	0	2	0	1	1	2.0	0.3554002597253877
2	1	1	2	1	1	1	1	1	1	1	3.0	0.3554002597253877
1	1	1	2	2	1	1	1	1	2	0	1.0	0.3554002597253877
2	2	1	1	0	1	2	2	1	0	0	1.0	0.3554002597253877
0	2	0	0	2	0	0	2	1	1	1	2.0	0.3554002597253877
2	2	2	2	2	0	0	1	0	2	0	1.0	0.3554002597253877
1	1	2	1	1	2	1	1	0	0	0	1.0	0.3763193609630727
2	1	0	0	0	1	1	2	1	0	0	1.0	0.3763193609630727
2	2	1	1	0	0	1	2	2	2	1	3.0	0.3763193609630727
0	1	2	0	1	1	0	0	2	0	1	2.0	0.3763193609630727
0	0	2	1	0	1	0	1	2	1	1	2.0	0.3763193609630727
2	2	1	1	1	1	0	0	0	2	1	2.0	0.3763193609630727
1	0	0	2	2	2	1	0	2	1	0	1.0	0.3763193609630727
2	2	1	2	2	0	2	2	1	2	1	3.0	0.3763193609630727
2	1	2	2	0	1	0	1	0	1	1	2.0	0.3763193609630727
2	1	2	2	1	1	2	0	1	1	0	1.0	0.3763193609630727
1	1	1	0	0	1	1	0	2	0	1	2.0	0.3763193609630727
2	1	1	0	1	2	1	2	2	1	1	2.0	0.3763193609630727
1	2	0	1	2	2	1	1	0	2	0	1.0	0.3763193609630727
1	2	0	0	1	2	2	1	2	0	1	2.0	0.3763193609630727
2	1	2	0	2	2	2	1	1	2	1	2.0	0.3763193609630727
2	1	0	2	0	2	2	2	1	1	0	1.0	0.3763193609630727
2	0	0	1	0	0	1	0	0	2	1	3.0	0.3763193609630727
0	1	2	0	0	2	2	2	1	2	1	2.0	0.3763193609630727
1	2	2	2	2	2	1	1	1	0	0	1.0	0.3763193609630727
2	1	1	1	2	1	0	0	0	1	0	1.0	0.3763193609630727
0	2	0	2	2	2	0	2	1	1	0	1.0	0.3763193609630727
0	1	0	1	2	1	1	2	0	1	0	1.0	0.3763193609630727
2	0	0	2	1	0	1	1	1	2	0	1.0	0.3763193609630727
2	0	0	1	1	1	1	2	1	0	0	1.0	0.3763193609630727
0	2	0	0	2	1	2	0	1	1	0	1.0	0.3763193609630727
2	2	0	2	2	1	2	1	1	2	1	3.0	0.3763193609630727
1	2	0	0	2	0	2	2	1	1	0	1.0	0.38641472048271586
1	2	2	1	1	2	1	2	1	0	1	3.0	0.38641472048271586
1	0	1	2	1	1	0	0	0	0	1	3.0	0.38641472048271586
1	2	0	2	1	0	0	1	1	2	0	1.0	0.38641472048271586
0	0	1	2	2	2	2	0	1	1	0	1.0	0.38641472048271586
2	0	0	0	0	0	2	1	0	0	1	2.0	0.38641472048271586
2	0	1	1	1	2	0	2	0	1	0	1.0	0.38641472048271586
1	1	0	1	2	2	1	1	2	2	0	1.0	0.38641472048271586
2	1	0	1	2	0	0	1	1	2	0	1.0	0.38641472048271586
0	0	1	2	1	1	2	2	2	1	1	2.0	0.38641472048271586
0	0	1	2	1	0	1	2	2	1	0	1.0	0.38641472048271586
2	2	1	0	2	1	1	2	2	0	0	1.0	0.38641472048271586
2	0	0	0	0	2	2	2	0	0	1	2.0	0.38641472048271586
2	2	2	0	2	2	0	1	0	2	1	3.0	0.38641472048271586
1	0	2	2	1	2	1	1	0	2	0	1.0	0.38641472048271586
1	1	0	0	1	1	0	2	2	2	1	2.0	0.38641472048271586
0	2	2	0	2	0	1	2	0	0	1	3.0	0.38641472048271586
1	2	1	1	0	0	0	1	0	1	1	2.0	0.38641472048271586
0	2	0	0	1	1	0	1	2	2	0	1.0	0.38641472048271586
2	1	2	1	2	2	0	0	0	0	0	1.0	0.38641472048271586
1	2	1	0	2	0	1	2	0	0	1	3.0	0.38641472048271586
0	2	0	2	1	2	1	1	2	1	1	3.0	0.38641472048271586
1	2	1	0	2	0	1	0	0	2	0	1.0	0.38641472048271586
0	1	2	0	0	1	1	1	2	0	1	2.0	0.38641472048271586
1	1	1	2	0	2	2	2	1	2	0	1.0	0.38641472048271586
0	2	2	1	1	2	0	0	1	1	1	3.0	0.38641472048271586
1	2	1	1	2	2	1	2	2	2	1	3.0	0.3890301866500784
1	1	0	1	2	0	1	0	0	0	0	1.0	0.3890301866500784
0	1	1	2	0	0	1	0	2	2	1	3.0	0.3890301866500784
1	0	1	0	2	1	2	2	2	0	0	1.0	0.3890301866500784
1	1	2	0	1	2	2	1	1	2	1	2.0	0.3890301866500784
0	2	0	0	2	2	0	1	2	2	0	1.0	0.3890301866500784
2	2	2	0	0	0	1	0	1	1	1	2.0	0.3890301866500784
0	2	1	2	2	0	1	1	1	0	0	1.0	0.3890301866500784
1	2	2	1	1	2	1	0	0	1	1	2.0	0.3890301866500784
2	1	0	2	0	2	2	2	0	2	0	1.0	0.3890301866500784
1	2	2	0	0	2	1	2	0	1	1	3.0	0.3890301866500784
0	0	2	2	2	0	2	0	1	0	0	1.0	0.3890301866500784
2	0	0	2	0	0	0	1	0	1	1	3.0	0.3890301866500784
1	2	2	0	1	0	2	2	2	0	1	2.0	0.3890301866500784
1	0	1	1	1	0	2	2	2	0	0	1.0	0.3890301866500784
1	1	1	0	1	1	0	0	2	0	1	2.0	0.3890301866500784
1	2	1	2	0	0	2	0	0	1	1	2.0	0.3890301866500784
0	2	2	2	0	2	0	1	2	2	1	3.0	0.3890301866500784
2	0	1	0	1	2	2	1	1	0	1	3.0	0.3890301866500784
0	0	1	1	2	0	2	0	2	1	0	1.0	0.3890301866500784
0	2	0	1	2	1	1	1	0	2	0	1.0	0.3890301866500784
2	0	0	2	2	0	2	2	0	0	0	1.0	0.3890301866500784
0	1	0	2	0	2	0	1	0	2	1	2.0	0.3890301866500784
2	1	0	0	0	2	1	1	1	0	0	1.0	0.3890301866500784
2	1	0	2	0	1	0	0	2	2	0	1.0	0.3890301866500784
0	0	2	2	1	0	1	0	0	2	0	1.0	0.3890301866500784
0	0	2	2	1	2	1	0	1	1	1	2.0	0.3890301866500784
1	0	2	2	2	0	0	0	1	1	1	2.0	0.3890301866500784
1	1	1	0	2	2	1	1	2	2	0	1.0	0.3890301866500784
2	2	0	2	2	2	0	1	2	2	1	3.0	0.3890301866500784
1	2	0	2	0	2	1	2	1	1	0	1.0	0.3890301866500784
0	2	1	1	0	1	1	0	1	0	1	3.0	0.3903379578305608
2	1	0	0	0	0	2	2	1	1	1	2.0	0.3903379578305608
0	0	1	2	2	2	0	0	1	0	1	2.0	0.3903379578305608
1	1	1	1	2	1	1	2	0	2	1	2.0	0.3903379578305608
2	1	0	1	1	1	2	2	1	2	1	3.0	0.3903379578305608
1	0	2	0	1	0	1	0	0	2	1	2.0	0.3903379578305608
2	0	0	1	0	1	1	1	2	2	0	1.0	0.3903379578305608
0	2	0	0	1	0	1	0	2	1	0	1.0	0.3903379578305608
1	0	0	1	1	0	1	1	0	0	0	1.0	0.3903379578305608
0	0	1	2	2	2	1	1	1	2	0	1.0	0.3903379578305608
0	2	2	1	0	2	0	1	1	0	1	3.0	0.3903379578305608
1	0	0	2	0	1	0	1	1	1	1	2.0	0.3903379578305608
1	0	2	0	2	0	1	2	2	0	1	3.0	0.3903379578305608
2	1	1	0	1	2	0	2	2	1	1	2.0	0.3903379578305608
1	2	0	1	0	1	0	2	2	1	0	1.0	0.3903379578305608
2	2	1	0	1	1	2	1	2	1	1	2.0	0.3903379578305608
1	2	2	1	2	2	0	0	2	1	0	1.0	0.3903379578305608
0	1	1	1	0	2	2	1	2	2	0	1.0	0.40261931122736516
2	1	2	1	2	2	1	2	2	0	1	3.0	0.40261931122736516
2	0	0	1	0	2	1	1	0	1	0	1.0	0.40261931122736516
2	1	0	0	2	2	1	0	1	0	0	1.0	0.40261931122736516
2	1	0	1	2	0	2	0	0	2	1	2.0	0.40261931122736516
0	2	1	2	0	1	0	0	0	1	0	1.0	0.40261931122736516
1	2	2	0	1	0	0	1	1	2	1	2.0	0.40261931122736516
1	1	0	1	2	2	2	2	1	2	1	3.0	0.40261931122736516
2	0	2	0	2	0	0	0	1	0	0	1.0	0.40261931122736516
2	0	0	2	2	2	1	2	1	2	0	1.0	0.40261931122736516
1	0	2	1	1	0	0	1	1	2	0	1.0	0.40261931122736516
1	0	1	2	2	0	2	1	2	2	1	2.0	0.40261931122736516
1	2	1	0	1	2	2	1	2	0	1	2.0	0.40261931122736516
1	0	0	1	0	2	2	0	2	1	0	1.0	0.40261931122736516
2	1	1	2	0	0	2	1	0	1	0	1.0	0.40261931122736516
2	0	1	2	1	0	1	2	1	1	1	2.0	0.40261931122736516
0	1	2	0	0	2	0	0	0	2	0	1.0	0.40261931122736516
0	0	2	0	2	2	0	0	1	0	0	1.0	0.40261931122736516
0	2	1	1	0	1	1	1	2	2	1	3.0	0.40261931122736516
2	2	0	2	1	2	0	1	2	1	1	3.0	0.40261931122736516
0	1	1	2	0	2	2	0	2	0	1	3.0	0.40261931122736516
2	0	0	2	1	1	1	1	2	2	1	2.0	0.40261931122736516
1	1	1	1	1	0	0	1	0	0	0	1.0	0.40261931122736516
1	0	1	2	2	0	0	0	1	0	1	2.0	0.40261931122736516
2	2	1	2	2	2	1	0	1	0	0	1.0	0.40261931122736516
0	2	0	2	2	2	2	2	0	1	1	2.0	0.40261931122736516
2	1	2	1	1	0	1	0	1	0	0	1.0	0.40261931122736516
2	1	2	2	0	0	2	2	1	0	0	1.0	0.40261931122736516
0	0	2	2	2	2	0	2	2	1	0	1.0	0.40261931122736516
0	0	0	1	0	0	1	0	1	2	1	2.0	0.40261931122736516
1	1	2	2	0	0	2	1	1	2	0	1.0	0.40261931122736516
0	0	2	2	1	2	2	2	2	1	1	2.0	
2	0	0	1	2	0	0	2	2	2	1	2.0	
2	1	0	2	1	1	0	2	2	0	0	1.0	
0	2	1	2	1	1	0	0	2	2	1	3.0	
2	0	1	2	1	2	2	0	0	1	0	1.0	
2	0	2	0	0	0	0	0	1	1	0	1.0	
2	2	0	2	1	0	2	2	0	2	1	2.0	
0	2	2	0	1	2	1	0	2	0	0	1.0	
0	2	0	2	1	0	2	2	0	0	1	2.0	
0	1	0	2	1	0	2	2	1	0	0	1.0	
2	2	2	2	2	1	0	0	1	2	0	1.0	
1	0	2	2	0	2	0	1	2	1	0	1.0	
0	1	1	2	1	0	1	0	0	0	1	2.0	
1	0	2	0	0	2	0	0	2	2	1	3.0	
2	2	0	1	1	1	1	1	0	1	1	2.0	
2	2	1	2	1	1	0	1	0	1	0	1.0	
1	0	0	2	2	0	1	2	0	0	1	3.0	
0	0	1	0	0	0	0	1	0	2	0	1.0	
2	0	1	2	0	1	0	2	0	0	1	3.0	
1	0	0	1	1	2	2	0	2	2	0	1.0	
1	1	2	2	1	2	2	0	1	0	0	1.0	
2	2	0	0	2	0	1	1	0	1	1	3.0	
2	2	2	2	1	1	1	0	1	0	0	1.0	
0	1	0	1	0	0	1	2	2	0	1	3.0	
2	1	1	2	1	2	1	1	1	1	1	3.0	
2	1	0	2	0	0	1	1	2	2	1	3.0	
1	2	1	2	0	2	0	2	0	2	0	1.0	
1	1	2	2	1	0	1	0	0	1	1	2.0	
0	2	0	1	0	2	2	2	2	0	1	3.0	
1	0	2	2	2	0	0	1	1	1	1	2.0	
0	1	0	0	2	2	2	2	0	0	1	3.0	
2	1	0	1	0	2	1	0	2	1	1	3.0	
0	1	0	0	1	0	1	0	1	2	1	2.0	
1	1	0	0	0	2	1	0	0	2	1	3.0	
0	1	1	2	0	2	0	0	1	2	1	3.0	
1	0	1	0	0	2	0	2	0	2	0	1.0	
0	0	1	2	0	0	0	0	1	1	1	2.0	
0	2	1	1	1	1	1	1	0	2	0	1.0	
1	1	0	0	1	1	1	2	2	1	1	2.0	
1	0	2	2	0	2	1	0	2	0	0	1.0	
2	2	0	2	2	2	1	2	2	0	1	3.0	
1	0	0	1	2	1	0	0	2	1	1	2.0	
1	2	1	0	0	1	2	0	2	1	1	2.0	
0	0	1	0	2	2	0	0	0	1	0	1.0	
2	2	2	1	0	1	1	1	1	2	0	1.0	
0	2	0	2	2	1	1	2	0	1	0	1.0	
1	0	0	2	2	2	2	1	1	0	0	1.0	
2	2	2	2	2	2	2	0	2	2	0	1.0	
1	2	1	2	2	1	0	1	0	2	0	1.0	
2	1	2	1	0	0	1	0	2	0	1	3.0	
1	1	2	0	2	2	2	2	2	1	0	1.0	
0	0	2	0	0	2	0	1	2	0	1	3.0	
2	0	1	1	0	2	1	1	0	1	0	1.0	
1	2	0	1	0	2	0	0	2	0	0	1.0	
0	1	2	2	2	2	2	0	2	2	1	3.0	
1	2	0	2	0	1	0	0	0	1	0	1.0	
2	0	1	1	0	1	0	2	0	0	0	1.0	
1	1	0	1	1	0	2	1	1	2	1	3.0	
1	2	0	2	1	1	1	0	1	2	1	3.0	
0	0	0	0	2	2	1	2	2	1	1	3.0	
2	0	0	1	1	0	2	0	2	0	0	1.0	
2	0	2	1	0	0	1	2	0	1	0	1.0	
2	2	2	1	2	2	0	0	1	2	1	3.0	
0	1	0	0	0	2	0	0	1	0	0	1.0	
1	2	2	1	0	1	1	0	1	1	1	3.0	
1	0	1	2	2	1	2	0	2	2	1	2.0	
1	1	0	2	1	0	0	1	1	0	1	3.0	
2	0	0	1	2	2	2	0	2	0	0	1.0	
1	2	0	2	2	1	0	0	2	1	1	3.0	
2	0	2	2	2	0	2	1	2	2	1	2.0	
2	1	2	2	0	1	1	0	0	2	0	1.0	
2	2	2	0	1	1	1	1	2	1	0	1.0	
2	1	2	0	0	1	0	0	1	2	0	1.0	
1	2	1	2	2	2	1	0	2	1	1	3.0	
1	2	0	2	0	1	1	1	0	0	0	1.0	
2	2	2	0	1	0	0	1	0	2	1	3.0	
0	0	2	0	1	0	2	0	0	1	1	2.0	
2	1	2	2	2	0	2	0	1	2	0	1.0	
0	1	0	2	1	2	1	1	1	2	0	1.0	
1	1	2	0	1	0	2	2	2	0	0	1.0	
0	1	0	2	1	0	2	0	0	2	0	1.0	
2	2	1	0	0	2	0	0	0	2	1	3.0	
1	2	1	2	1	0	1	1	0	0	0	1.0	
1	1	0	0	2	2	1	0	2	0	1	2.0	
0	0	2	2	1	0	2	0	0	2	0	1.0	
2	0	0	1	0	1	1	2	0	0	0	1.0	
0	2	2	2	2	1	1	1	2	0	1	3.0	
1	0	1	1	1	0	1	2	0	0	0	1.0	
2	1	1	0	1	0	1	1	2	1	1	2.0	
0	2	1	1	2	2	2	0	0	2	0	1.0	
0	0	1	2	2	0	1	1	2	0	0	1.0	
1	1	2	0	1	2	2	0	2	0	0	1.0	
0	1	2	2	1	0	0	2	2	1	0	1.0	
2	0	1	1	0	2	0	2	1	0	0	1.0	
2	0	1	2	1	2	1	2	1	2	0	1.0	
2	0	2	0	0	1	0	2	1	0	0	1.0	
0	0	1	1	1	2	1	2	0	1	0	1.0	
2	1	0	2	0	1	1	2	0	1	1	2.0	
2	1	1	2	0	2	2	2	2	1	1	3.0	
2	0	0	2	1	1	2	0	0	0	0	1.0	
1	0	0	1	1	0	1	0	0	0	0	1.0	
2	1	1	2	2	2	1	2	2	2	1	3.0	
0	2	0	2	1	0	0	0	0	0	0	1.0	
2	0	0	2	0	2	1	0	2	2	1	2.0	
1	2	0	1	2	0	0	1	2	2	0	1.0	
1	1	1	1	2	0	1	2	2	0	1	3.0	
1	1	1	1	2	1	1	1	1	0	0	1.0	
0	1	0	1	0	0	0	0	2	1	1	3.0	
0	0	2	0	2	2	2	0	1	0	1	3.0	
0	0	2	2	0	1	0	2	1	1	1	2.0	
0	1	2	2	1	2	1	2	2	1	0	1.0	
0	2	2	1	1	0	0	0	1	0	1	3.0	
0	0	2	1	0	2	1	0	2	1	1	2.0	
1	1	0	0	2	1	0	0	2	2	1	2.0	
2	1	2	1	0	0	2	0	0	1	1	2.0	
0	2	0	2	2	2	2	0	0	0	1	2.0	
2	0	2	1	0	0	1	2	0	2	1	3.0	
1	1	0	0	2	0	0	2	2	0	1	2.0	
2	2	0	2	1	2	0	2	2	1	1	3.0	
2	0	2	2	1	0	1	2	1	1	1	2.0	
0	0	2	1	0	0	0	1	2	2	1	2.0	
1	1	0	1	0	0	2	1	1	2	1	3.0	
1	0	0	2	1	0	1	2	2	1	0	1.0	
0	0	2	1	1	2	0	0	2	1	1	2.0	
0	0	1	1	0	0	1	2	2	0	1	2.0	
2	0	2	1	0	1	0	2	1	2	0	1.0	
0	0	2	0	2	2	2	2	1	0	1	3.0	
1	0	0	2	2	2	1	2	2	1	0	1.0	
1	0	0	1	1	0	2	1	2	1	0	1.0	
1	1	2	0	0	2	1	1	2	2	0	1.0	
1	0	1	2	2	1	2	0	2	0	1	2.0	
2	1	2	1	0	0	2	0	1	1	1	3.0	
0	0	2	2	0	1	0	0	2	0	0	1.0	
1	0	1	0	2	2	1	2	1	0	0	1.0	
0	1	1	1	2	0	1	1	2	1	1	3.0	
0	1	1	2	0	2	1	0	2	1	0	1.0	
0	2	2	2	2	2	0	1	2	2	1	3.0	
2	2	0	1	1	0	0	1	1	0	1	3.0	
0	0	2	2	2	0	0	2	1	2	1	2.0	
0	1	1	1	0	0	1	2	1	0	0	1.0	
1	2	0	2	0	1	2	0	2	0	0	1.0	
1	2	0	0	1	2	0	0	1	0	1	2.0	
0	2	0	1	0	2	2	2	0	1	0	1.0	
1	1	1	0	2	2	2	1	0	0	1	3.0	
0	1	2	0	1	2	2	0	0	0	1	3.0	
2	0	2	2	0	0	1	2	0	1	1	3.0	
1	1	1	1	2	2	2	1	1	0	1	3.0	
2	2	0	2	2	1	2	2	0	0	1	2.0	
0	0	2	2	0	0	0	2	0	2	1	3.0	
2	1	2	0	1	0	1	1	2	2	0	1.0	
2	2	0	1	1	0	0	0	2	0	0	1.0	
2	2	2	2	0	0	0	0	1	2	0	1.0	
1	1	2	2	2	1	2	0	1	1	0	1.0	
0	2	1	0	0	0	2	1	0	1	0	1.0	
0	2	1	2	0	1	0	1	1	0	0	1.0	
0	2	2	1	0	0	2	0	0	1	0	1.0	
0	0	2	0	0	0	1	2	1	0	0	1.0	
1	2	1	1	0	0	0	2	0	2	1	2.0	
0	0	0	0	0	1	2	2	0	2	1	2.0	
0	0	1	0	1	1	2	2	0	2	1	2.0	
2	0	2	1	0	2	1	2	1	2	1	2.0	
1	0	0	2	1	1	2	2	0	2	0	1.0	
2	2	0	0	2	1	0	1	2	0	0	1.0	
2	2	0	0	2	0	1	0	1	0	1	2.0	
2	0	1	1	0	0	0	0	1	1	0	1.0	
1	1	2	0	2	1	1	1	1	0	0	1.0	
0	0	0	0	2	0	2	0	1	2	1	3.0	
2	2	0	1	0	2	2	1	2	0	1	3.0	
0	1	0	1	2	1	1	1	2	2	0	1.0	
1	1	1	1	0	0	1	0	0	0	0	1.0	
0	1	0	1	1	1	1	0	0	0	0	1.0	
0	0	2	1	2	1	1	1	2	0	1	2.0	
0	0	1	2	2	1	0	0	2	2	0	1.0	
0	1	2	1	1	1	0	1	0	0	0	1.0	
1	0	2	1	1	0	0	1	0	1	0	1.0	
0	0	0	0	0	2	1	1	2	2	0	1.0	
0	2	1	1	2	1	1	0	2	2	1	3.0	
0	2	0	1	1	0	1	2	1	0	1	3.0	
1	0	2	0	2	0	0	1	2	2	1	3.0	
1	2	0	2	2	0	1	2	0	0	0	1.0	
2	0	2	1	0	0	0	0	2	2	1	2.0	
0	2	2	2	2	2	2	1	1	1	1	3.0	
1	1	0	2	2	1	0	1	1	0	1	3.0	
2	0	0	0	2	0	0	0	2	2	1	3.0	
0	1	2	1	1	0	0	2	0	2	0	1.0	
1	2	1	2	0	1	1	0	2	2	0	1.0	
0	0	2	2	2	2	2	1	1	1	0	1.0	
2	1	1	1	2	0	1	2	1	1	0	1.0	
1	1	0	1	0	1	0	2	1	1	0	1.0	
2	2	1	1	0	0	0	2	0	0	1	2.0	
0	0	2	0	0	1	1	0	1	1	0	1.0	
0	2	1	0	0	2	0	2	1	1	1	2.0	
1	0	0	2	2	0	2	0	2	2	1	2.0	
0	2	2	2	0	1	1	1	2	2	0	1.0	
1	0	1	0	2	1	1	0	1	1	0	1.0	
2	1	0	2	1	2	2	2	2	0	1	3.0	
1	2	2	1	2	0	1	1	0	0	1	2.0	
1	0	1	2	0	2	2	0	1	0	0	1.0	
2	2	0	0	2	2	0	1	2	1	0	1.0	
1	0	2	0	2	1	1	2	1	1	0	1.0	
0	1	0	0	0	1	0	0	0	1	0	1.0	
0	2	0	0	1	2	1	1	2	2	1	2.0	
1	2	2	0	2	0	2	2	1	1	0	1.0	
0	2	2	2	2	2	2	1	1	1	1	3.0	
2	2	0	1	2	2	1	2	1	1	1	3.0	
1	2	0	1	1	2	0	1	1	0	1	3.0	
1	1	2	2	2	2	2	0	2	0	1	3.0	
1	0	1	2	1	0	2	1	0	0	0	1.0	
2	2	0	0	0	0	2	1	0	0	0	1.0	
0	0	2	1	0	1	1	2	2	0	1	2.0	
2	0	2	1	2	0	1	2	0	1	0	1.0	
1	1	2	1	1	2	0	2	2	1	1	3.0	
2	0	1	0	0	1	1	1	1	0	0	1.0	
0	2	2	0	1	2	2	2	2	2	1	2.0	
2	1	1	1	2	1	2	1	0	1	1	2.0	
2	1	2	1	0	2	2	1	2	2	0	1.0	
1	2	2	1	0	1	2	0	1	2	0	1.0	
1	1	1	0	1	1	1	2	2	0	1	2.0	
0	0	1	2	1	1	2	0	1	2	0	1.0	
2	0	0	1	0	2	1	2	1	0	0	1.0	
0	0	1	0	1	0	2	1	1	1	1	3.0	
0	2	0	2	1	2	1	0	2	0	1	3.0	
2	0	0	0	0	0	0	1	1	0	0	1.0	
0	0	2	1	2	0	1	2	0	0	0	1.0	
2	1	1	2	2	0	2	1	2	1	1	3.0	
0	1	2	1	1	1	1	0	1	2	1	3.0	
2	0	1	1	1	0	1	1	0	2	1	3.0	
1	0	2	0	1	0	2	1	2	0	0	1.0	
2	0	0	2	1	2	2	2	2	2	1	2.0	
2	1	0	1	2	0	1	2	2	0	1	3.0	
1	2	0	1	1	1	2	1	0	0	0	1.0	
2	2	1	2	1	0	2	0	0	0	1	2.0	
1	2	0	0	0	0	2	1	1	2	0	1.0	
1	2	1	1	1	0	1	1	0	2	0	1.0	
1	0	0	2	1	2	1	1	0	1	1	3.0	
1	1	0	2	1	2	2	0	1	1	0	1.0	
0	0	1	2	0	2	2	2	1	1	0	1.0	
0	2	2	1	0	0	1	2	2	2	1	3.0	
0	2	1	0	0	0	0	1	0	0	1	3.0	
0	2	0	0	0	2	2	0	0	2	0	1.0	
1	1	2	2	0	0	2	0	0	1	0	1.0	
0	1	0	0	0	2	2	1	0	1	1	3.0	
0	2	0	0	2	2	2	1	1	1	0	1.0	
1	1	1	1	0	2	2	2	1	1	1	3.0	
2	0	1	2	2	0	2	0	0	0	0	1.0	
2	0	2	1	2	1	0	2	1	2	0	1.0	
2	1	1	0	1	1	1	1	1	0	0	1.0	
0	0	0	2	2	0	2	2	2	0	1	2.0	
2	0	2	0	2	1	2	0	1	1	1	3.0	
2	1	2	0	0	1	0	0	1	2	0	1.0	
2	0	2	1	0	2	1	1	1	0	0	1.0	
0	1	1	1	2	0	0	1	1	0	0	1.0	
1	1	0	1	0	0	1	0	0	0	0	1.0	
2	2	0	2	2	1	2	0	2	0	0	1.0	
1	1	0	1	2	0	0	1	0	0	0	1.0	
2	2	2	1	1	1	0	1	0	2	1	2.0	
1	1	2	2	2	2	1	1	1	2	0	1.0	
2	1	0	1	1	1	2	1	2	0	0	1.0	
0	0	2	1	0	2	1	0	1	1	0	1.0	
1	2	1	1	1	1	1	0	0	1	1	2.0	
2	0	2	2	0	0	1	1	0	0	1	3.0	
